"searchQuery/countryCode","searchQuery/device","searchQuery/domain","searchQuery/languageCode","searchQuery/locationUule","searchQuery/page","searchQuery/resultsPerPage","searchQuery/term","searchQuery/type","searchQuery/url","resultsTotal","date","description","displayedUrl","emphasizedKeywords/0","emphasizedKeywords/1","emphasizedKeywords/2","emphasizedKeywords/3","emphasizedKeywords/4","emphasizedKeywords/5","position","title","type","url","emphasizedKeywords/6","emphasizedKeywords/7"
"DE","DESKTOP","google.de",,,"1","5","Aus Hartz IV wird Bürgergeld site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Aus+Hartz+IV+wird+B%C3%BCrgergeld+site%3Asueddeutsche.de&num=5","1910","2024-06-05T12:00:00.000Z","ber das Bürgergeld tobt heftiger politischer Streit. Die CDU will die 2023 eingeführte Sozialreform kippen und Menschen, die über längere Zeit ...","https://www.sueddeutsche.de › ... › Arbeit und Soziales","Bürgergeld",,,,,,"1","Bürgergeld senkt Anreiz zu arbeiten: Folgen für politische ...","organic","https://www.sueddeutsche.de/wirtschaft/buergergeld-anreiz-arbeit-streit-ampel-union-1.6972179",,
"DE","DESKTOP","google.de",,,"1","5","Aus Hartz IV wird Bürgergeld site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Aus+Hartz+IV+wird+B%C3%BCrgergeld+site%3Asueddeutsche.de&num=5","1910","2024-03-18T12:00:00.000Z","Die Union will das von der Ampel 2023 als Hartz-IV-Nachfolger eingeführte Bürgergeld nach der Bundestagswahl 2025 mit einem eigenen Konzept ...","https://www.sueddeutsche.de › ... › Arbeit und Soziales","Hartz","IV","Bürgergeld",,,,"2","CDU will Bürgergeld radikal umbauen – breite Ablehnung - ...","organic","https://www.sueddeutsche.de/wirtschaft/soziales-cdu-will-buergergeld-radikal-umbauen-breite-ablehnung-dpa.urn-newsml-dpa-com-20090101-240318-99-377876",,
"DE","DESKTOP","google.de",,,"1","5","Aus Hartz IV wird Bürgergeld site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Aus+Hartz+IV+wird+B%C3%BCrgergeld+site%3Asueddeutsche.de&num=5","1910","2024-04-23T12:00:00.000Z","Dass Sanktionen nun schwieriger und langwieriger geworden sind, das lehnt eine breite Mehrheit ab. Ähnlich sieht es bei der erhöhten monatlichen ...","https://www.sueddeutsche.de › ... › Wirtschaftspolitik",,,,,,,"3","Jobcenter-Mitarbeiter sehen Bürgergeld kritisch","organic","https://www.sueddeutsche.de/wirtschaft/jobcenter-mitarbeiter-buergergeld-reform-1.6565776",,
"DE","DESKTOP","google.de",,,"1","5","Aus Hartz IV wird Bürgergeld site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Aus+Hartz+IV+wird+B%C3%BCrgergeld+site%3Asueddeutsche.de&num=5","1910","2022-10-11T12:00:00.000Z","Außerdem dürfen Bürgergeldempfänger deutlich mehr Vermögen behalten: In der Karenzzeit sind es 60 000 Euro, für jede weitere Person im Haushalt ...","https://www.sueddeutsche.de › ... › Arbeit und Soziales",,,,,,,"4","Bürgergeld statt Hartz IV: Was man darüber wissen muss","organic","https://www.sueddeutsche.de/politik/buergergeld-bundestag-hartz-iv-unterschied-1.5691120",,
"DE","DESKTOP","google.de",,,"1","5","Aus Hartz IV wird Bürgergeld site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Aus+Hartz+IV+wird+B%C3%BCrgergeld+site%3Asueddeutsche.de&num=5","1910","2022-10-13T12:00:00.000Z","Der Regelsatz soll nach Heils Plänen für alleinstehende Erwachsene monatlich 502 Euro betragen - mehr als 50 Euro mehr als bislang. Mit Partnern ...","https://www.sueddeutsche.de › ... › Arbeit und Soziales",,,,,,,"5","Bürgergeld und Hartz IV: Alles Wichtige im Überblick - Politik","organic","https://www.sueddeutsche.de/politik/buergergeld-hartz-iv-bundestag-heil-1.5674072",,
"DE","DESKTOP","google.de",,,"1","5","Mehr oder weniger site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Mehr+oder+weniger+site%3Asueddeutsche.de&num=5","447000","2016-03-19T12:00:00.000Z","Wenn manche viel besitzen und andere nichts, kann das dem Zusammenleben schaden. Aber wie kann man das verhindern? Von Pia Ratzesberger.","https://www.sueddeutsche.de › ... › Ungleichheit",,,,,,,"1","Ungleichheit - Mehr oder weniger - Gesellschaft","organic","https://www.sueddeutsche.de/leben/ungleichheit-mehr-oder-weniger-1.2900530",,
"DE","DESKTOP","google.de",,,"1","5","Mehr oder weniger site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Mehr+oder+weniger+site%3Asueddeutsche.de&num=5","447000","2016-09-27T12:00:00.000Z","Wer bewusst auf ein neues Auto, neue Kleidung, oder eine schicke Uhr verzichtet, obwohl er sich leisten könnte, will den Wohlhabenden in dieser ...","https://www.sueddeutsche.de › leben › statussymbol-ver...",,,,,,,"2","Bewusst verzichten: Wenn weniger mehr ist - Gesellschaft","organic","https://www.sueddeutsche.de/leben/statussymbol-verzicht-mehr-weniger-1.3170269",,
"DE","DESKTOP","google.de",,,"1","5","Mehr oder weniger site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Mehr+oder+weniger+site%3Asueddeutsche.de&num=5","447000","2023-06-08T12:00:00.000Z","Manchmal kann etwas Zusatzarbeit das Gefühl von Anstrengung reduzieren. Wie das geht, haben Psychologen untersucht. Von Sebastian Herrmann.","https://www.sueddeutsche.de › Politik › Psychologie",,,,,,,"3","Psychologie Mehr ist weniger - Politik","organic","https://www.sueddeutsche.de/politik/arbteit-und-anstrengung-1.6101832",,
"DE","DESKTOP","google.de",,,"1","5","Mehr oder weniger site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Mehr+oder+weniger+site%3Asueddeutsche.de&num=5","447000","2020-12-02T12:00:00.000Z","Alastair Humphreys macht so schnell nichts Angst. Der Engländer ist mit dem Rad vier Jahre lang um die Welt gefahren.","https://www.sueddeutsche.de › Reise",,,,,,,"4","Reisebuch - Mehr oder weniger - Reise","organic","https://www.sueddeutsche.de/reise/reisebuch-mehr-oder-weniger-1.4792691",,
"DE","DESKTOP","google.de",,,"1","5","Wer mehr und wer weniger Sozialbeiträge zahlen muss site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Wer+mehr+und+wer+weniger+Sozialbeitr%C3%A4ge+zahlen+muss+site%3Asueddeutsche.de&num=5","2340","2022-12-21T12:00:00.000Z","Im neuen Jahr werden Geringverdiener bei den Abgaben entlastet. Und mehr Wohngeld und das neue Bürgergeld gibt es auch.","https://www.sueddeutsche.de › artikel › wirtschaft › soz...","mehr",,,,,,"1","Wer mehr und wer weniger Sozialbeiträge zahlen muss","organic","https://www.sueddeutsche.de/projekte/artikel/wirtschaft/sozialbeitraege-rente-buergergeld-wohngeld-e458954/",,
"DE","DESKTOP","google.de",,,"1","5","Wer mehr und wer weniger Sozialbeiträge zahlen muss site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Wer+mehr+und+wer+weniger+Sozialbeitr%C3%A4ge+zahlen+muss+site%3Asueddeutsche.de&num=5","2340","2018-08-29T12:00:00.000Z","mehr verdient, muss auch anteilig mehr zahlen. Das ist ein einfaches und gerechtes Prinzip, das leider für die Sozialversicherungen nicht gilt.","https://www.sueddeutsche.de › ... › Steuern und Abgaben","mehr","muss","mehr zahlen",,,,"2","Sozialabgaben in Deutschland sind ungerecht","organic","https://www.sueddeutsche.de/wirtschaft/meinung-am-mittag-sozialsystem-die-sozialabgaben-bevorzugen-die-reichen-1.4109325",,
"DE","DESKTOP","google.de",,,"1","5","Wer mehr und wer weniger Sozialbeiträge zahlen muss site:sueddeutsche.de","SEARCH","http://www.google.de/search?q=Wer+mehr+und+wer+weniger+Sozialbeitr%C3%A4ge+zahlen+muss+site%3Asueddeutsche.de&num=5","2340","2017-07-20T12:00:00.000Z","Das Bundessozialgericht entscheidet darüber, ob Väter und Mütter bei Sozialbeiträgen entlastet werden sollen. · Eltern aus ganz Deutschland ...","https://www.sueddeutsche.de › ... › Bundessozialgericht","Sozialbeiträgen",,,,,,"3","Sozialbeiträge - Wer ein Kind hat, soll weniger zahlen","organic","https://www.sueddeutsche.de/leben/sozialbeitraege-wer-kinder-hat-soll-weniger-zahlen-1.3595270",,
